13.2,12.76
13.64,12.76
14.08,12.76
14.96,12.76
15.4,12.76
16.28,12.76
16.72,12.76
17.16,12.76
17.6,12.76
19.36,12.76
20.24,12.76
21.12,12.76
21.56,12.76
22.0,12.76
24.2,12.76
25.52,12.76
13.2,12.32
13.64,12.32
14.08,12.32
14.96,12.32
15.4,12.32
16.28,12.32
16.72,12.32
17.16,12.32
17.6,12.32
19.36,12.32
20.24,12.32
21.12,12.32
21.56,12.32
22.0,12.32
24.2,12.32
25.52,12.32
13.2,11.88
14.52,11.88
15.84,11.88
18.04,11.88
18.48,11.88
18.92,11.88
19.8,11.88
20.68,11.88
22.44,11.88
22.88,11.88
23.32,11.88
23.76,11.88
24.64,11.88
25.08,11.88
25.96,11.88
26.4,11.88
13.2,11.44
13.64,11.44
14.08,11.44
14.96,11.44
15.4,11.44
16.28,11.44
16.72,11.44
17.16,11.44
17.6,11.44
19.36,11.44
20.24,11.44
21.12,11.44
21.56,11.44
22.0,11.44
24.2,11.44
25.52,11.44
13.2,11.0
13.64,11.0
14.08,11.0
14.96,11.0
15.4,11.0
16.28,11.0
16.72,11.0
17.16,11.0
17.6,11.0
19.36,11.0
20.24,11.0
21.12,11.0
21.56,11.0
22.0,11.0
24.2,11.0
25.52,11.0
13.2,10.56
14.52,10.56
15.84,10.56
18.04,10.56
18.48,10.56
18.92,10.56
19.8,10.56
20.68,10.56
22.44,10.56
22.88,10.56
23.32,10.56
23.76,10.56
24.64,10.56
25.08,10.56
25.96,10.56
26.4,10.56
13.2,10.12
13.64,10.12
14.08,10.12
14.96,10.12
15.4,10.12
16.28,10.12
16.72,10.12
17.16,10.12
17.6,10.12
19.36,10.12
20.24,10.12
21.12,10.12
21.56,10.12
22.0,10.12
24.2,10.12
25.52,10.12
13.2,9.68
13.64,9.68
14.08,9.68
14.96,9.68
15.4,9.68
16.28,9.68
16.72,9.68
17.16,9.68
17.6,9.68
19.36,9.68
20.24,9.68
21.12,9.68
21.56,9.68
22.0,9.68
24.2,9.68
25.52,9.68
13.2,9.24
13.64,9.24
14.08,9.24
14.96,9.24
15.4,9.24
16.28,9.24
16.72,9.24
17.16,9.24
17.6,9.24
19.36,9.24
20.24,9.24
21.12,9.24
21.56,9.24
22.0,9.24
24.2,9.24
25.52,9.24
13.2,8.8
13.64,8.8
14.08,8.8
14.96,8.8
15.4,8.8
16.28,8.8
16.72,8.8
17.16,8.8
17.6,8.8
19.36,8.8
20.24,8.8
21.12,8.8
21.56,8.8
22.0,8.8
24.2,8.8
25.52,8.8
13.2,8.36
14.52,8.36
15.84,8.36
18.04,8.36
18.48,8.36
18.92,8.36
19.8,8.36
20.68,8.36
22.44,8.36
22.88,8.36
23.32,8.36
23.76,8.36
24.64,8.36
25.08,8.36
25.96,8.36
26.4,8.36
13.2,7.92
14.52,7.92
15.84,7.92
18.04,7.92
18.48,7.92
18.92,7.92
19.8,7.92
20.68,7.92
22.44,7.92
22.88,7.92
23.32,7.92
23.76,7.92
24.64,7.92
25.08,7.92
25.96,7.92
26.4,7.92
13.2,7.48
14.52,7.48
15.84,7.48
18.04,7.48
18.48,7.48
18.92,7.48
19.8,7.48
20.68,7.48
22.44,7.48
22.88,7.48
23.32,7.48
23.76,7.48
24.64,7.48
25.08,7.48
25.96,7.48
26.4,7.48
13.2,7.04
13.64,7.04
14.08,7.04
14.96,7.04
15.4,7.04
16.28,7.04
16.72,7.04
17.16,7.04
17.6,7.04
19.36,7.04
20.24,7.04
21.12,7.04
21.56,7.04
22.0,7.04
24.2,7.04
25.52,7.04
13.2,6.6
14.52,6.6
15.84,6.6
18.04,6.6
18.48,6.6
18.92,6.6
19.8,6.6
20.68,6.6
22.44,6.6
22.88,6.6
23.32,6.6
23.76,6.6
24.64,6.6
25.08,6.6
25.96,6.6
26.4,6.6
13.2,6.16
13.64,6.16
14.08,6.16
14.96,6.16
15.4,6.16
16.28,6.16
16.72,6.16
17.16,6.16
17.6,6.16
19.36,6.16
20.24,6.16
21.12,6.16
21.56,6.16
22.0,6.16
24.2,6.16
